"SETTORE/UNITA' DI STAFF/PROGETTI/QUARTIERI","CODICE CDR",RESPONSABILI,AREA/DIPARTIMENTO
DIREZIONE GENERALE,001,Dott. Valerio Montalto,
AREA PERSONALE E ORGANIZZAZIONE,002,Avv. Daniela Gemelli,AREA PERSONALE E ORGANIZZAZIONE
"Area Risorse Finanziarie e Patrimonio - Economato",003,Dott. ssa Miriam Pompilia Pepe ,AREA RISORSE FINANZIARIE E PATRIMONIO
"Area Risorse Finanziarie e Patrimonio - Patrimonio",004,Dott. ssa Miriam Pompilia Pepe ,AREA RISORSE FINANZIARIE E PATRIMONIO
Settore Statistica ,005,Dott.ssa Silvia Marreddu,"DIPARTIMENTO  PROGRAMMAZIONE, DATI, DIGITALE, DIRITTI E PARI OPPORTUNITA'"
Avvocatura,006,Avv. Antonella Trentini,
Settore Edilizia Pubblica ,007,Arch. Manuela Faustini Fustini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
Settore Servizi Demografici,008,Dott.ssa Nicoletta Marcolin,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
Area Risorse Finanziarie e Patrimonio - Bilancio,009,Dott. ssa Miriam Pompilia Pepe ,AREA RISORSE FINANZIARIE E PATRIMONIO
Area Risorse Finanziarie e Patrimonio - Entrate,011,Dott. ssa Miriam Pompilia Pepe ,AREA RISORSE FINANZIARIE E PATRIMONIO
"Settore Manutenzione delle Citta' e Progetto Bologna Verde - Gestione Immobili e Impianti a Rete",012,Ing. Simone Stella,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
Settore Cultura e Creativita',013,Dott.ssa Giorgia Boldrini,DIPARTIMENTO CULTURA
DIPARTIMENTO WELFARE E PROMOZIONE DEL BENESSERE DI COMUNITA' ,016,Dott. Chris Tomesani,DIPARTIMENTO WELFARE E PROMOZIONE DEL BENESSERE DI COMUNITA'
"Settore Mobilità sostenibile e Infrastrutture - Piani e progetti per la rete tram e la mobilità sostenibile",017,Arch. Giovanni Ginocchini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Settore Strade e Cura della Città - Manutenzione strade",018,Arch. Benedetta Corsano Annibaldi,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"DIPARTIMENTO EDUCAZIONE, ISTRUZIONE E NUOVE GENERAZIONI",019,Dott.ssa Veronica Ceruti,
"Area Sicurezza Urbana Integrata e Protezione Civile - Protezione civile",020,Dott. Alberto Nuzzo,"AREA SICUREZZA URBANA INTEGRATA E PROTEZIONE CIVILE"
Settore Sport,021,Dott.ssa Lucia Paglioni,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
Staff del Consiglio comunale e Atti Normativi,023,Avv. Maria Pia Trevisani,
"Settore Mobilità sostenibile e Infrastrutture - Sistemi per la mobilita'",024,Arch. Giovanni Ginocchini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI",025,Dott.ssa Lara Bonfiglioli,
Gabinetto del Sindaco,026,Dott. Valerio Montalto,DIREZIONE GENERALE
Settore Economia,028,Dott.ssa Pierina Martinelli,DIREZIONE GENERALE
"Dipartimento Segreteria Generale, Partecipate, Appalti,Sport e Quartieri - Partecipazioni societarie ",029,Dott.ssa Lara Bonfiglioli,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'",030,Arch. Manuela Faustini Fustini,
"Settore Manutenzione della città e Progetto Bologna Verde - Verde",031,Ing. Simone Stella,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
Settore Agenda Digitale e Sistemi Informativi,034,Dott. Stefano Mineo ,"DIPARTIMENTO  PROGRAMMAZIONE, DATI, DIGITALE, DIRITTI E PARI OPPORTUNITA'"
"Area Europa, Innovazione e Internazionalizzazione della Citta' - Promozione e Turismo",035,Ing. Osvaldo Panaro,"AREA EUROPA, INNOVAZIONE E INTERNAZIONALIZZAZIONE DELLA CITTA'"
"Dipartimento Educazione, Istruzione e Nuove Generazioni - Progetto Politiche per i Giovani",036,Dott.ssa Veronica Ceruti,"DIPARTIMENTO EDUCAZIONE, ISTRUZIONE E NUOVE GENERAZIONI"
"DIPARTIMENTO  PROGRAMMAZIONE, DATI, DIGITALE, DIRITTI E PARI OPPORTUNITA'",037,Dott.ssa Mariagrazia Bonzagni,
"Settore Salute, Benessere e Autonomia della persona",038,Dott. Chris Tomesani,DIPARTIMENTO WELFARE E PROMOZIONE DEL BENESSERE DI COMUNITA'
Settore Servizio Sociale,040,Dott.ssa Gina Simona Simoni,DIPARTIMENTO WELFARE E PROMOZIONE DEL BENESSERE DI COMUNITA'
"AREA SICUREZZA URBANA INTEGRATA E PROTEZIONE CIVILE - Polizia locale",41,Dott. Romano Mignani,"AREA SICUREZZA URBANA INTEGRATA E PROTEZIONE CIVILE"
DIPARTIMENTO CULTURA,043,Dott.ssa Giorgia Boldrini,
"Area Europa, Innovazione e Internazionalizzazione della Citta' - Europa e Internazionale",044,Ing. Osvaldo Panaro,"AREA EUROPA, INNOVAZIONE E INTERNAZIONALIZZAZIONE DELLA CITTA'"
Settore Servizi per l' Edilizia Privata,046,Arch. Monica Cesari,"DIPARTIMENTO URBANISTICA, CASA E AMBIENTE "
"DIPARTIMENTO URBANISTICA, CASA, AMBIENTE",047,Arch. Monica Cesari,
Settore Ufficio di Piano Urbanistico,048,Arch. Francesco Evangelisti,"DIPARTIMENTO URBANISTICA, CASA E AMBIENTE "
"AREA EUROPA, INNOVAZIONE E INTERNAZIONALIZZAZIONE DELLA CITTA'",049,Ing. Osvaldo Panaro,
"Settore Strade e Cura della Città - Gestione Rifiuti",051,Arch. Benedetta Corsano Annibaldi,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
Settore Semplificazione Amministrativa e Cura delle Relazioni con la Cittadinanza,052,Dott. Maurizio Ferretti,"DIPARTIMENTO  PROGRAMMAZIONE, DATI, DIGITALE, DIRITTI E PARI OPPORTUNITA'"
"Direzione generale - Economia della notte",053,Dott. Valerio Montalto,DIREZIONE GENERALE
"Direzione generale - Interventi Urbani Complessi",054,Dott. Valerio Montalto,DIREZIONE GENERALE
