COD_INT,DESCRIZIONE,RUP,Pg_nomina,IMPORTO_INTERVENTO
6817,"PN Metro Plus - Missione 1 Priorità 7 - Realizzazione della nuova biblioteca Ginzburg al quartiere Savena",CIONI,,"8.200.000,00"
6819,PON METRO Asse 2.1.2 intervento di efficentamento energetico impianti elettrici scuole Volta/Mazzini,STELLA,,"545.745,34"
6820,Lavori di manutenzione programmata del complesso monumentale della fontana del Nettuno,CIONI,,"159.720,00"
6821,"Interventi di risistemazione propedeutici all'installazione delle targhe UNESCO nell'ambito del progetto denominato ""OPEN: Palco aperto. I portici di Bologna come palcoscenico a cielo aperto per l'espressione e la valorizzazione turistico-culturale della città""",CORSANO,,"62.220,00"
6780,"Ristrutturazione dell'ex casa del custode ad uso mensa nella scuola primaria Fortuzzi, viale Giurini 2, Bologna",DAPRILE,,"570.000,00"
6705,Realizzazione del nuovo nido in via Barbacci,DAPRILE,,"4.065.500,00"
6706,"Demolizione e ricostruzione con aumento capienza bambini dell'asilo nido Cavazzoni,- in via Bezzecca, quartiere Savena",DAPRILE,,"4.065.500,00"
6613,Rimozione della scala provvisoria e realizzazione di nuova scala alla Salara,CIONI,477438/2021,"250.000,00"
6680,Intervento di efficientamento energetico con utilizzo dei proventi dei titoli di Efficientamento energetico,STELLA,71962/2022,"55.000,00"
6289,Realizzazione di un nuovo nido in via Gobetti,DAPRILE,469085/2019,"3.500.000,00"
6662,Percorsi ciclabili BIKE TO WORK 2021,MAGRINI,217686/2022,"2.201.617,38"
6735,"Centro sportivo Bonori: realizzazione di nuova palestra previa demolizione dell'edificio ad uso bocciofila esistente, sito in via Romita, n. 2/7",FAUSTINI,410445/2022,"6.050.000,00"
6736,Riqualificazione e rigenerazione della cittadella dello sport Gianni Falchi,FAUSTINI,637142/2022,"1.100.000,00"
6737,"Riqualificazione centro sportivo Lucchini - Antistadio, sito in Via Andrea Costa, n. 167/2",FAUSTINI,410445/2022,"4.400.000,00"
6877,"PNRR M1C3 -LINEA D'AZIONE N. 1 ""SICUREZZA SISMICA NEI LUOGHI DI CULTO, TORRI E CAMPANILI"" messa in sicurezza e consolidamento della torre Garisenda",FAUSTINI FUSTINI MANUELA,,"5.000.000,00"
6878,Intervento di consolidamento e restauro torre Garisenda,FAUSTINI FUSTINI MANUELA,,"5.000.000,00"
6879,Realizzazione interventi di mitigazione acustica nelle scuoile Salvo D'acquisto,STELLA SIMONE,,"1.250.000,00"
6737,"Riqualificazione centro sportivo Lucchini - Antistadio, sito in Via Andrea Costa, n. 167/2",FAUSTINI FUSTINI MANUELA,410445/2022,"4.400.000,00"
6838,"Interventi su strade a seguito dell'emergenza ""Alluvione"",CORSANO ANNIBALDI BENEDETTA,449852/2023,"3.460.000,00"
6684,"Costruzione delle nuove scuole Armandi Avogli, mediante demolizione dell'esistente, in via Saragozza 238",DAPRILE VINCENZO,410445/2022,"3.300.000,00"
6701,"Intervento di recupero funzionale e paesaggistico del parco del DLF con recupero degli immobili vincolati, interventi sui campi sportivi, nuovi sottoservizi e ridefinizione degli spazi aperti in genere",D'ORIA MICHELE,111269/2023,"10.035.384,73"
6702,"Interventi diffusi finalizzati alla realizz. del percorso della memoria in Bolognina: realizz. dell'asse stradale nord-sud, riqual di due corti residenziali ERP e riqual edifici affacciati su v. Fioravanti parte del compendio ex mercato ortofrutticolo",D'ORIA MICHELE,201369/2023,"8.963.107,71"
6824,"Interventi per il miglioramento della sicurezza stradale dei pedoni: nuove zone a velocità limitata, realizzazione e riqualificazione di percorsi e attraversamenti pedonali",MAGRINI CHIARA,341514/2023,"613.723,00"
6806,Realizzazione giardino dei pioppi-giardino Popieluszko Borgo Panigale-Reno nell'ambito del programma sperimentale denominato ""Dateci Spazio"",CORSANO ANNIBALDI BENEDETTA,730004/2023,"500.000,00"
